GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200169,447,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,3,1,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,8,1,1,20230124,RGV,MXC
Shot Chart Detail,2022200178,238,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,2,5,31,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,124,230,1,1,20230126,RGV,MXC
Shot Chart Detail,2022200178,626,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,4,1,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,222,200,1,1,20230126,RGV,MXC
Shot Chart Detail,2022200194,112,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,3,50,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-174,-20,1,1,20230128,TEX,MXC
Shot Chart Detail,2022200194,123,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,2,41,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,6,1,1,20230128,TEX,MXC
Shot Chart Detail,2022200194,216,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,2,8,28,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,61,52,1,1,20230128,TEX,MXC
Shot Chart Detail,2022200199,106,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,3,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,26,1,1,20230129,TEX,MXC
Shot Chart Detail,2022200199,110,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,2,49,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,10,1,1,20230129,TEX,MXC
Shot Chart Detail,2022200199,395,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,3,3,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-86,267,1,1,20230129,TEX,MXC
Shot Chart Detail,2022200210,173,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,2,11,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20230201,MXC,SBL
