team_logo,TEAM,Pace,eFGPCTG,TOVPCTG,ORBPCTG,FTPERFGA,ORtg
https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,CAPITANES,104.1,.548,15.2,27.3,.140,117.2
https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709922/primary/L/logo.svg,SWARM,104.1,.583,19.0,10.8,.119,111.5
