stat_type,Rk,Player,G,GS,MP,FG,FGA,FGPCTG,THREEP,THREEPA,THREEPPCTG,TWOP,TWOPA,TWOPPCTG,FT,FTA,FTPCTG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
per_game,1,Mason Jones,16,16,37.0,8.5,16.1,.527,2.4,6.1,.388,6.1,10.0,.613,4.4,5.3,.835,1.3,3.2,4.5,5.1,1.6,0.0,3.6,2.7,25.5
per_game,2,Shabazz Napier,10,2,30.5,6.8,14.3,.476,3.2,6.8,.471,3.6,7.5,.480,3.1,3.8,.816,0.2,2.0,2.2,4.7,1.9,0.3,2.9,1.7,22.3
per_game,3,Gary Clark,18,18,34.6,6.4,15.1,.428,4.2,10.1,.412,2.3,4.9,.461,1.6,2.0,.806,1.3,7.2,8.4,2.2,1.3,0.7,2.0,1.8,19.4
per_game,4,Skylar Mays,5,2,34.2,7.0,15.4,.455,2.2,6.4,.344,4.8,9.0,.533,1.6,2.0,.800,1.2,4.0,5.2,8.8,0.6,0.2,2.0,2.2,19.2
per_game,5,Rigoberto Mendoza,19,19,34.3,6.2,12.4,.496,1.5,4.1,.364,4.7,8.4,.560,1.3,1.5,.857,1.3,5.0,6.3,3.9,1.4,0.4,2.0,2.5,15.8,
per_game,6,Kenneth Faried,20,18,29.7,6.0,10.4,.577,0.2,0.7,.286,5.8,9.7,.598,1.7,2.9,.579,4.8,6.9,11.7,1.7,1.2,2.1,2.3,3.5,15.0,
per_game,7,Alfonzo McKinnie,16,5,27.4,5.1,12.2,.415,1.2,4.3,.275,3.9,7.9,.492,1.3,1.8,.714,1.8,4.2,5.9,1.0,0.8,0.3,2.0,2.9,13.5
per_game,8,Bruno Caboclo,2,2,29.5,4.5,10.5,.429,1.0,3.0,.333,3.5,7.5,.467,1.0,1.5,.667,2.5,2.5,5.0,1.5,0.0,2.0,1.5,3.5,12.0
per_game,9,Kalob Ledoux,2,0,24.5,4.0,9.0,.444,3.5,6.5,.538,0.5,2.5,.200,0.0,0.5,.000,1.0,0.5,1.5,1.0,0.5,0.0,1.0,1.0,11.5
per_game,10,Justin Minaya,17,15,34.2,4.1,9.1,.452,1.4,4.6,.308,2.7,4.5,.597,0.4,0.9,.400,1.1,3.0,4.1,2.2,1.9,1.4,0.9,2.1,10.2
per_game,11,Caio Pacheco,16,7,24.1,2.4,6.8,.358,1.0,3.1,.327,1.4,3.8,.383,0.6,0.8,.769,0.5,1.4,1.9,3.3,0.7,0.0,1.7,2.4,6.9
per_game,12,Orlando Mendez,5,0,8.6,2.0,3.2,.625,1.8,2.8,.643,0.2,0.4,.500,0.0,0.0,,0.0,0.2,0.2,0.4,0.2,0.0,0.4,1.0,5.8,
per_game,13,Jassel Perez,13,0,17.2,2.3,5.1,.455,0.8,2.4,.355,1.5,2.7,.543,0.1,0.3,.250,0.8,1.0,1.8,0.7,0.8,0.2,0.8,2.3,5.6,
per_game,14,Tra Holder,2,0,12.5,1.0,4.5,.222,1.0,3.0,.333,0.0,1.5,.000,1.0,1.0,1.000,0.0,0.0,0.0,2.5,0.0,0.0,1.0,1.5,5.0
per_game,15,Derek Culver,11,1,12.6,1.1,3.0,.364,0.0,0.0,,1.1,3.0,.364,0.6,1.3,.500,1.6,2.1,3.7,0.6,0.2,0.3,0.5,1.6,3.3
per_game,16,Gael Bonilla,13,0,11.2,1.2,2.9,.421,0.1,0.5,.143,1.2,2.4,.484,0.2,0.2,1.000,1.1,1.6,2.7,0.7,0.3,0.2,0.5,0.8,3.0,
per_game,17,Moises Andriassi,5,0,10.2,0.8,2.6,.308,0.6,2.4,.250,0.2,0.2,1.000,0.0,0.0,,0.0,0.8,0.8,0.6,0.4,0.2,0.2,0.2,2.2
