GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200294,406,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,3,5,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-127,236,1,1,20230222,IWA,MXC
Shot Chart Detail,2022200299,59,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,1,7,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,10,1,1,20230223,SXF,MXC
Shot Chart Detail,2022200299,69,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,1,6,19,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20230223,SXF,MXC
Shot Chart Detail,2022200299,122,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,1,1,41,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-146,142,1,1,20230223,SXF,MXC
Shot Chart Detail,2022200299,439,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,3,0,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-162,201,1,1,20230223,SXF,MXC
Shot Chart Detail,2022200324,56,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,1,7,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,9,1,1,20230226,MXC,ONT
Shot Chart Detail,2022200324,63,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,1,6,34,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-15,1,1,20230226,MXC,ONT
Shot Chart Detail,2022200324,96,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,1,3,41,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-141,215,1,1,20230226,MXC,ONT
Shot Chart Detail,2022200324,180,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,2,10,1,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-25,159,1,1,20230226,MXC,ONT
Shot Chart Detail,2022200324,271,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,2,3,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,15,1,1,20230226,MXC,ONT
Shot Chart Detail,2022200324,370,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,3,8,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,21,1,1,20230226,MXC,ONT
Shot Chart Detail,2022200327,282,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,2,3,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,22,1,1,20230227,MXC,ONT
Shot Chart Detail,2022200327,294,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,2,1,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-156,210,1,1,20230227,MXC,ONT
