PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1628539,34,Mychal Mulder,1612709904,SXF,21,751,114,270,0.422,88,219,0.402,24,33,0.727,8,63,71,44,22,9,32,39,360,309,1.38,0.69
203098,35,John Jenkins,1612709930,GLI,19,560,130,276,0.471,71,165,0.43,18,19,0.947,5,31,36,48,21,3,30,25,359,290,1.6,0.7
1630536,36,Sharife Cooper,1612709893,CLC,16,518,123,267,0.461,22,71,0.31,54,63,0.857,17,49,66,105,14,1,69,46,357,321,1.52,0.2
1630561,37,David Duke Jr.,1612709921,LIN,16,534,127,267,0.476,25,80,0.313,45,55,0.818,31,66,97,62,30,6,49,43,355,351,1.26,0.61
1630548,38,Johnny Juzang,1612709903,SLC,17,542,117,273,0.429,55,151,0.364,39,43,0.907,14,76,90,57,8,5,48,30,353,305,1.19,0.17
1630306,38,Rob Edwards,1612709927,WIS,23,718,110,261,0.421,62,170,0.365,44,51,0.863,7,77,84,53,23,12,22,51,353,345,2.41,1.04
1630624,40,Feron Hunt,1612709913,BIR,23,728,141,260,0.542,14,58,0.241,34,49,0.694,49,76,125,53,37,19,65,54,352,387,0.81,0.57
1629623,40,Lindell Wigginton,1612709927,WIS,16,571,109,246,0.443,45,116,0.388,53,64,0.828,13,49,62,87,16,6,45,47,352,330,1.93,0.36
1630679,42,Ethan Thompson,1612709923,WCB,20,709,115,257,0.447,41,104,0.394,54,64,0.844,15,79,94,72,25,10,34,50,351,366,2.12,0.73
1626184,43,Chasson Randle,1612709889,OKL,23,701,123,270,0.456,53,141,0.376,28,37,0.757,6,42,48,69,21,4,38,61,348,296,1.82,0.55
1628238,44,Paris Bass,1612709927,WIS,19,501,128,251,0.51,30,72,0.417,36,49,0.735,43,92,135,28,17,18,27,55,346,381,1.04,0.63
