team_logo,TEAM,Pace,eFGPCTG,TOVPCTG,ORBPCTG,FTPERFGA,ORtg
https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,CAPITANES,88.3,.500,11.3,31.4,.128,118.9
https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709923/primary/L/logo.svg,BULLS,88.3,.557,12.2,21.1,.177,126.9
