team_logo,TEAM,FIQ,SQ,TQ,FOQ,TOTAL
https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,CAPITANES,25,39,34,26,124
https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709911/primary/D/logo.svg,WOLVES,25,20,38,33,116
